file	date	hour	id_mic	Ecosystem	Composition	Interaction	Structure	Dilution	Replicate	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Tet	Col	Pau	Eug	Daphnia	Tet_meanarea	Col_meanarea	Pau_meanarea	Eug_meanarea	Tet_major	Col_major	Pau_major	Eug_major	Tet_minor	Col_minor	Pau_minor	Eug_minor	Euglena_manual	Eug_manual_per_ul	Daphnia_large_protist	Col_presence	Pau_presence	CD	Bact_per_ul	Mean FSC-A	Mean SSC-A	Oxygen
sample_0058	2015-10-26	10	58	1	Col + Pau	Competition	Resource	0	B	0.944	0.053636364	1275.606061	72.47761708	109.7581927	1.935148835	59.31404062	0.373532586	516.0072206	1.311930834	14.995	8.407499628	0.35	0	0	0.053636364	0	NA	0	0	1362.278682	0	0	0	109.7581927	0	0	0	59.31404062	0	0	0	NA	no	yes	0	52520	2762.940	2630.190	6.949
sample_0059	2015-10-26	10	59	2	Tet	Competition	Consumer	0	B	1.824	0.103636364	189.6666667	10.77651515	16.31464521	6.57328108	10.07019716	5.195214921	167.3608381	144.8423387	5.484347826	5.558025995	0.989375	0.103636364	0	0	0	NA	40.19711605	0	0	0	16.31464521	0	0	0	10.07019716	0	0	0	0	0	NA	NA	NA	NA	36160	2626.420	2335.230	8.166
sample_0060	2015-10-26	10	60	1	Col + Pau	Competition	Consumer	0	B	1.168	0.066363636	747.7878788	42.48794766	77.27093157	45.30045166	45.43674709	14.84238347	575.355017	23.77526295	19.84	3.139554108	0.255	0	0.044545455	0.021818182	0	NA	0	328.8110699	1276.041667	0	0	45.23867502	109.3031881	0	0	34.94159709	55.9318971	0	0	0	NA	yes	yes	0	62260	2939.380	2663.010	8.373
sample_0061	2015-10-26	10	61	1	Bact	B.alone	Resource	0.33	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	21720	2571.720	4470.840	14.511
sample_0062	2015-10-26	10	62	2	Bact	B.alone	Resource	0.33	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	23720	2146.970	2118.550	13.683
sample_0063	2015-10-26	10	63	1	Bact	B.alone	Consumer	0.33	B	0.64	0.036363636	31.96969697	1.816460055	23.33593393	11.87736569	10.0073174	1.572718824	188.9280462	95.49796952	2.816	1.356329606	1.34	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	35500	2079.660	2197.170	14.014
sample_0064	2015-10-26	10	64	2	Tet	B.alone	Consumer	0.33	B	3.392	0.192727273	433.3939394	24.62465565	19.82432646	8.387522558	14.7395169	6.703610881	126.3673678	91.21180782	3.090909091	1.852643811	1.175	0.192727273	0	0	0	NA	73.21967102	0	0	0	19.82432646	0	0	0	14.7395169	0	0	0	0	0	NA	NA	NA	NA	21660	2422.410	2251.540	13.682
sample_0065	2015-10-26	10	65	1	Col	C.alone	Resource	0.33	B	0.368	0.020909091	100.1212121	5.688705234	46.3970565	5.202159223	27.10751047	1.744860322	450.2817708	331.8017646	17.1	16.97536058	0.68	0	0.020909091	0	0	NA	0	277.9958678	0	0	0	46.3970565	0	0	0	27.10751047	0	0	0	0	NA	yes	NA	0	54740	3045.510	3021.250	11.335
sample_0066	2015-10-26	10	66	2	Bact	C.alone	Resource	0.33	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	22560	1851.170	2037.400	14.015
sample_0067	2015-10-26	10	67	1	Col	C.alone	Consumer	0.33	B	2	0.113636364	356.3030303	20.24449036	35.46334848	1.568212848	24.26806061	0.795516556	484.5	329.2685153	17.92	13.32189176	0.29	0	0.113636364	0	0	NA	0	178.1515152	0	0	0	35.46334848	0	0	0	24.26806061	0	0	0	0	NA	yes	NA	0	57240	3544.060	3276.910	11.14
sample_0068	2015-10-26	10	68	2	Tet	C.alone	Consumer	0.33	B	0.712	0.040454545	18.03030303	1.024449036	13.72125547	2.745445938	8.65390239	0.789338135	115.9590284	136.9055306	5.482307692	8.477295317	1.127272727	0.040454545	0	0	0	NA	24.32669393	0	0	0	13.72125547	0	0	0	8.65390239	0	0	0	0	0	NA	NA	NA	NA	26880	2384.180	2649.840	13.769
sample_0069	2015-10-26	10	69	1	Col + Eug	Facilitation	Resource	0.33	B	1.584	0.09	239.030303	13.58126722	26.25663006	12.23917359	14.77645846	6.784708452	184.5264913	218.8469235	6	9.230651115	1.267	0	0.025454545	0	0.063181818	NA	0	130.8621934	0	88.82049414	0	29.41795936	0	27.07389784	0	16.97104978	0	14.60557211	4	0.227272727	NA	yes	NA	0	50260	3042.760	2916.640	11.882
sample_0070	2015-10-26	10	70	2	Bact	Facilitation	Resource	0.33	B	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	24200	2641.120	4106.670	14.273
sample_0071	2015-10-26	10	71	1	Col + Eug	Facilitation	Consumer	0.33	B	4.72	0.268181818	685.7878788	38.96522039	29.08536211	9.503965037	15.9392814	6.003161001	203.2387456	252.659884	5.97125	10.88714341	1.13	0	0.062272727	0	0.203636364	NA	0	200.4825136	0	101.709082	0	42.64208955	0	28.70887404	0	22.68558842	0	15.46076409	5	0.284090909	NA	yes	NA	0	62420	3093.240	3633.490	12.236
